a [a:]
bra [bra:]
brath [bra:θ]
bratha [‘braθa]
brav [bra:v]
bre [brɛ:]
brederedh [brɛ’dɛrɛð]
Breten [‘brɛtɛn]
bregh [brɛ:x]
bretennek [brɛ’tɛn:ɛk]
Breton [‘brɛtɔn]
Bretonek [brɛ’tɔnɛk]
breghel [‘brɛhɛl]
breghelik [brɛ’hɛl:ɪk]
bretonek [brɛ’tɔnɛk]
bregys [‘brɛgɪs]
Bretones [brɛ’tɔnɛs]
brendya [‘brɛndja]
brennik [‘brɛn:ɪk]
brennyas [‘brɛn:jas]
breus [brø:z]
breusel [‘brœzɛl]
breusi [‘brœzi]
breuslys [‘brœzlɪs]
breusyades [brœz’jadɛs]
bresel [‘brɛzɛl]
breusyans [‘brœzjans]
breusyas [‘brœzjas]
breselek [brɛ’zɛlɛk]
brew [brɛˑʊ]
breseler [brɛ’zɛlɛr]
breseli [brɛ’zɛli]
brewgik [‘brɛʊgɪk]
breselores [ˌbrɛzɛ’lɔrɛs]
brewi [‘brɛwi]
breselyans [brɛ’zɛljans]
brewyon [‘brɛʊjɔn]
breyn [brɛɪn]
breyna [‘brɛɪna]
breynans [‘brɛɪnans]
breynder [‘brɛɪndɛr]
bri [bri:]
brialli [bri’al:i]
bronna [‘brɔn:a]
bronnvil [‘brɔnvɪl]
briansen [bri’anzɛn]
brons [brɔnz]
briel [‘bri:ɛl]
brigad [brɪ’ga:d]
brosa [‘brɔza]
brosans [‘brɔzans]
brin [bri:n]
brith [bri:θ]
brosweyth [‘brɔzwɛɪθ]
britha [‘briθa]
brosyans [‘brɔzjans]
brithel [‘brɪθɛl]
brithen [‘briθɛn]
brottel [‘brɔtɛl]
brithennek [brɪ’θɛn:ɛk]
brithlen [‘brɪθlɛn]
browagh [‘brɔwax]
brithweyth [‘brɪθwɛɪθ]
broweghereth [ˌbrɔwɛ’hɛrɛθ]
brithys [‘briθɪs]
broweghi [brɔ’wɛhi]
bro [brɔ:]
broweghus [brɔ’wɛhʏs]
broweghyades [ˌbrɔwex’jadɛs]
broweghyas [brɔ’wɛxjas]
brocha [‘brɔ:ʧa]
brows [brɔʊz]
broder [‘brɔdɛr]
browsi [‘brɔʊzi]
browsyon [‘brɔʊzjɔn]
Brussel [‘brʏsɛl]
brybour [‘brɪbʊr]
brogh [brɔ:x]
bryck [brɪk]
broghki [‘brɔxki]
brygh [brɪ:x]
broklo [‘brɔklɔ]
bronkitis [brɔŋ’ki:tɪs]
bryghlin [‘brɪxlɪn]
bryghlina [brɪx’lina]
bryghlinans [brɪx’linans]
bughik [‘bʏhɪk]
bryjyon [‘brɪʤjɔn]
bughwas [‘bʏxwas]
bryjys [‘brɪʤɪs]
Bulgarek [bʏl’garɛk]
brykedh [‘brɪkɛð]
bulgarek [bʏl’garɛk]
brynk [brɪŋk]
Bulgari [bʏl’gari]
Bulgarian [ˌbʏlga’ri:an]
bryntin [‘brɪntɪn]
Bulgarianes [bʏlˌgari’anɛs]
bulhorn [bɤl’hɔrn]
buluk [‘bʏlʏk]
burjes [‘bʏrʤɛz]
burjesek [bʏr’ʤɛzɛk]
brysel [‘brɪzɛl]
burjeseth [bʏr’ʤɛzɛθ]
brysonieth [ˌbrɪzɔ’ni:ɛθ]
burjestra [bʏr’ʤɛstra]
brysoniethel [brɪˌzɔni’ɛθɛl]
burjyses [bʊr’ʤɪzɛs]
brysonydh [brɪ’zɔnɪð]
burm [bʏrm]
brysonydhes [ˌbrɪzɔ’nɪðɛs]
burokrat [bʏ’rɔkrat]
Brython [‘brɪθɔn]
burokrates [ˌbʏrɔ’kratɛs]
Brythones [brɪ’θɔnɛs]
burokratieth [bʏˌrɔkra’ti:ɛθ]
bual [‘by:al]
burow [‘by:rɔʊ]
buan [‘by:an]
budh [by:ð]
busel [‘bʏzɛl]
budhek [‘bʏðɛk]
bush [by:ʃ]
budhyn [‘bʏðɪn]
but [by:t]
budji [‘bʏʤi]
byghan [‘bɪhan]
buffe [bʏ’fɛ:]
byghanhe [ˌbɪhan’hɛ:]
bugel [‘bʏgɛl]
byghanna [bɪ’han:a]
bugeles [bʏ’gɛlɛs]
byjyon [‘bɪʤjɔn]
bugelya [bʏ’gɛlja]
bykken [‘bɪkɛn]
bugh [by:x]
byldya [‘bɪldja]
bynari [bɪ’nari]
bywhe [ˌbɪʊ’hɛ:]
bynitha [bɪ’niθa]
bywheans [bɪʊ’hɛ:ans]
bynk [bɪŋk]
bywhes [ˌbɪʊ’hɛ:z]
bynner [‘bɪn:ɛr]
celder [‘sɛldɛr]
cellulos [‘sɛl:ʏlɔs]
celluloyd [‘sɛl:ʏlɔɪt]
byrla [‘bɪrla]
centimeter [ˌsɛntɪ’mɛtɛr]
byrlans [‘bɪrlans]
certan [‘sɛrtan]
certifia [ˌsɛrtɪ’fi:a]
certifiys [ˌsɛrtɪ’fi:ɪs]
cessya [‘sɛsja]
chal [‘tʃa:l]
chalenj [‘ʧalɛnʤ]
chalenjya [ʧa’lɛnʤja]
challa [‘tʃal:a]
chambour [‘tʃambʊr]
bysi [‘bɪzi]
chanj [ʧanʤ]
chanjus [‘ʧanʤʏs]
byskon [‘bɪskɔn]
chanjya [‘ʧanʤja]
bysow [‘bɪzɔʊ]
chanjyans [‘ʧanʤjans]
chanjyel [‘ʧanʤjɛl]
bysowek [bɪ’zɔwɛk]
chapel [‘ʧapɛl]
bystel [‘bɪstɛl]
charj [ʧarʤ]
bystyon [‘bɪstjɔn]
bysya [‘bɪzja]
charjya [‘ʧarʤja]
byth [bɪ:θ]
chartour [‘ʧartʊr]
bythkweth [‘bɪθkwɛθ]
chassya [‘ʧasja]
chastia [ʧas’ti:a]
bytt [bɪt]
chatelydh [ʧa’tɛlɪð]
byttegyns [ˌbɪtɛ’gɪns]
chatelydhes [ˌʧatɛ’lɪðɛs]
byttele [ˌbɪtɛ’lɛ:]
byw [bɪˑʊ]
chatelydhieth [ʧaˌtɛlɪ’ði:ɛθ]
chayn [ʧaɪn]
chaynya [‘ʧaɪnja]
chiladres [ʧɪ’ladrɛs]
chayr [ʧaɪr]
China [‘ʧi:na]
Chinek [‘ʧi:nɛk]
checken [‘ʧɛkɛn]
chinek [‘ʧi:nɛk]
chogha [‘ʧɔha]
choklet [‘ʧɔklɛt]
checkva [‘ʧɛkva]
chons [ʧɔ:ns]
checkya [‘ʧɛkja]
chonsus [‘ʧɔnsʏs]
chonsya [‘ʧɔnsja]
chorl [ʧɔrl]
Chek [ʧɛ:k]
nos [ˌʧʊrˑa’nɔ:z]
chyften [‘ʧɪftɛn]
chymbla [‘ʧɪmbla]
chekas [‘ʧɛkas]
cider [‘si:dɛr]
Chekek [‘ʧɛkɛk]
cidi [ˌsiˑ’di:]
Chekes [‘ʧɛkɛs]
cigar [sɪ’ga:r]
cigarik [sɪ’garɪk]
chenon [‘ʧɛnɔn]
cher [ʧɛ:r]
cinema [‘sɪnɛma]
cirk [sɪrk]
cita [‘sɪta]
cherita [‘ʧɛrɪta]
civil [‘sɪvɪl]
chersya [‘ʧɛrsja]
da [da:]
cherya [‘ʧɛrja]
dader [‘dadɛr]
cheson [‘ʧɛzɔn]
dadhel [‘daðɛl]
chevalri [‘ʧɛvalri]
dadhelor [‘daðəlɔr]
chevisya [ʧɛ’vɪzja]
chi [ʧi:]
dadhelores [ˌdaðə’lɔrɛs]
dadhelva [da’ðɛlva]
chif [ʧi:f]
dadhla [‘daðla]
chifcita [ˌʧif’sɪta]
daffar [‘dafar]
chilader [ʧɪ’ladɛr]
chiladrans [ʧɪ’ladrans]
dager [‘dagɛr]
damach [‘damaʧ]
dagren [‘dagrɛn]
dampnya [‘dampnja]
dagrewi [da’grɛwi]
damsel [‘damzɛl]
dalgh [dalx]
Dan [da:n]
dalghasedh [dal’hazɛð]
Danek [‘danɛk]
danek [‘danɛk]
dalghedh [‘dalhɛð]
Danes [‘danɛs]
danjer [‘danʤɛr]
Danmark [‘danmark]
dans [dans]
dalghen [‘dalhɛn]
dalghenna [dal’hɛn:a]
dalghennans [dal’hɛn:ans]
dansel [‘danzɛl]
danvon [‘danvɔn]
dalghennas [dal’hɛn:as]
danvonadow [ˌdanvɔ’nadɔʊ]
dalghus [‘dalhʏs]
da-ober [ˌdaˑ’ɔbɛr]
dalghuster [dal’hʏstɛr]
dar [da:r]
dall [dal:]
daras [‘daras]
dalla [‘dal:a]
darasik [da’razɪk]
darbar [‘darbar]
dallathvos [da’laθfɔs]
darbarer [dar’barɛr]
dalleth [‘dal:ɛθ]
darbari [dar’bari]
darbarores [ˌdarba’rɔrɛs]
dallether [da’lɛθɛr]
darbolla [dar’bɤl:a]
dardhyghtya [dar’ðɪxtja]
dallethores [ˌdalɛ’θɔrɛs]
dargan [‘dargan]
dallhe [ˌdalˑ’hɛ:]
dalva [‘dalva]
dargana [dar’gana]
dama [‘da:ma]
darlesa [dar’lɛza]
daslev [‘dazlɛv]
darlesans [dar’lɛzans]
dasleverel [ˌdazlɛ’vɛrɛl]
darleverel [ˌdarlɛ’vɛrɛl]
dasliv [‘dazlɪv]
darn [darn]
dasliva [daz’liva]
dasoberi [ˌdazɔ’bɛri]
darnas [‘darnas]
dasoberor [ˌdazɔ’bɛrɔr]
daromdak [da’rɔmdak]
dasoberyans [ˌdazɔ’bɛrjans]
daromres [dar’ɔmrɛs]
daspren [‘dasprɛn]
darsewya [dar’zɛʊja]
darsewyades [ˌdarzɛʊ’jadɛs]
dasprena [das’prɛna]
darsewyans [dar’zɛʊjans]
dasprintya [das’prɪntja]
dasprintyans [das’prɪntjans]
darsewyas [dar’zɛʊjas]
dasseni [da’sɛni]
darvos [‘darvɔs]
dasserghi [das’sɛrhi]
das [da:z]
das- [das-]
dasserghyans [das’sɛrxjans]
dasa [‘daza]
dasanedhi [ˌdaza’nɛði]
dasskrif [‘daskrɪf]
dasarvedh [daz’arvɛð]
dashwithra [das’ʍɪθra]
dasskrifa [das’skrifa]
dashwithrans [das’ʍɪθrans]
dasson [‘dasɔn]
dastardh [‘dastarð]
daskavos [das’kavɤs]
dastarlesans [ˌdastar’lɛzans]
daskelwel [das’kɛlwɛl]
daskemeres [ˌdaskɛ’mɛrɛs]
dastewynnya [ˌdastɛ’wɪn:a]
dasknias [das’kni:as]
daskor [‘daskɔr]
dastrehevel [ˌdastrɛ’hɛvɛl]
daskwertha [das’kwɛrθa]
daskwerthans [das’kwɛrθans]
dastrehevyans [ˌdastrɛ’hɛvjans]
daskwerther [das’kwɛrθɛr]
dasunya [daz’y:nja]
daskwerthores [ˌdaskwɛr’θɔrɛs]
dasunyans [daz’y:njans]
daswel [‘dazwɛl]
dasweles [daz’wɛlɛs]
dedhwi [‘dɛðwi]
daswerth [‘dazwɛrθ]
dedhya [‘dɛðja]
dedhyas [‘dɛðjas]
daswertha [daz’wɛrθa]
daswerther [daz’wɛrθɛr]
dedhyek [‘dɛðjɛk]
defendya [dɛ’fɛndja]
daswerthores [ˌdazwɛr’θɔrɛs]
defendyans [dɛ’fɛndjans]
daswrians [daz’wri:ans]
defens [dɛ’fɛns]
daswriansek [ˌdazwri’anzɛk]
defia [dɛ’fi:a]
daswul [‘dazwʏl]
defians [dɛ’fi:ans]
dates [‘datɛs]
defolya [dɛ’fɔlja]
davas [‘davas]
defolyans [dɛ’fɔljans]
de [dɛ:]
defowt [dɛ’fɔʊt]
deg [dɛ:g]
dega [‘dɛga]
degadow [dɛ’gadɔʊ]
degea [dɛ’gɛ:a]
debatya [dɛ’ba:tja]
degemeres [ˌdɛgɛ’mɛrɛs]
debisya [dɛ’bɪzja]
deboner [ˌdɛbɔ’nɛ:r]
degemerus [ˌdɛgɛ’mɛrʏs]
debreni [dɛb’rɛni]
degemerva [ˌdɛgɛ’mɛrva]
debron [‘dɛbrɔn]
degemeryans [ˌdɛgɛ’mɛrjans]
decessya [dɛ’sɛsja]
decevya [dɛ’sɛ:vja]
deges [dɛ’gɛ:z]
degevi [dɛ’gɛvi]
degi [‘dɛgi]
dedhewadow [ˌdɛðɛ’wadɔʊ]
deglena [dɛ’glɛna]
dedhewi [dɛ’ðɛwi]
degoodh [dɛ’go:ð]
degowek [dɛ’gɔwɛk]
delek [‘dɛlɛk]
degowoges [ˌdɛgɔ’wɔgɛs]
delen [‘dɛlɛn]
delennek [dɛ’lɛn:ɛk]
degre [dɛ’grɛ:]
delenwel [dɛ’lɛnwɛl]
degves [‘dɛgvɛs]
deleva [dɛ’lɛva]
delinya [dɛ’li:nja]
degvledhen [dɛg’vlɛðɛn]
delinyans [dɛ’li:njans]
delit [dɛ’li:t]
delitya [dɛ’li:tja]
delivra [dɛ’lɪvra]
degynsywa [ˌdɛgɪn’zɪwa]
degynsywek [ˌdɛgɪn’zɪwɛk]
delivrans [dɛ’lɪvrans]
dehen [‘dɛhɛn]
delk [dɛlk]
delni [‘dɛlni]
delow [‘dɛlɔʊ]
dehesi [dɛ’hɛzi]
dehwelans [dɛ’ʍɛlans]
dehweles [dɛ’ʍɛlɛs]
dehwelyans [dɛ’ʍɛljans]
delvrys [dɛl’vrɪ:z]
deklaracyon [ˌdɛkla’rasjɔn]
delvrysek [dɛl’vrɪsɛk]
delyowek [dɛl’jɔwɛk]
deklarya [dɛ’klarja]
demedha [dɛ’mɛða]
deklinya [dɛ’kli:nja]
demedhi [dɛ’mɛði]
deklinyans [dɛ’kli:njans]
demedhyans [dɛ’mɛðjans]
del [dɛ:l]
demedhys [dɛ’mɛðɪs]
dela [‘dɛla]
delanwes [dɛ’lanwɛs]
demma [‘dɛm:a]
delatya [də’latja]
Demokrat [‘dɛmɔkrat]
delay [dɛ’laˑɪ]
demokratek [ˌdɛmɔ’kratɛk]
dentethyel [dɛn’tɛθjɛl]
Demokrates [ˌdɛmɔ’kratɛs]
denti [‘dɛ:nti]
demokratieth [dɛˌmɔkra’ti:ɛθ]
departya [dɛ’partja]
der [dɛr]
demond [dɛ’mɔ:nd]
demondya [dɛ’mɔ:ndja]
den [dɛ:n]
deray [dɛ’raˑɪ]
dena [‘dɛna]
deraylya [dɛ’raɪlja]
denagha [dɛ’naha]
dendyl [‘dɛndɪl]
derivador [ˌdɛrɪ’vadɔr]
derivadores [dɛˌrɪva’dɔrɛs]
derivadow [ˌdɛrɪ’vadɔʊ]
dengerensedhek [dɛnˌgɛrɛn’zɛðɛk]
derivas [dɛ’rivas]
dengibya [dɛn’gɪbja]
denladh [‘dɛnlað]
denladha [dɛn’laða]
dermatologieth [ˌdɛrmaˌtɔlɔ’gi:ɛθ]
denladra [dɛn’ladra]
dermatologydh [dɛrˌmatɔ’lɔgɪð]
denladrans [dɛn’ladrans]
dermatologydhes [ˌdɛrmaˌtɔlɔ’gɪðɛs]
denledhyades [ˌdɛnlɛð’jadɛs]
dernigel [dɛr’nigɛl]
denledhyas [dɛn’lɛðjas]
densa [‘dɛnza]
densek [‘dɛnzɛk]
derowel [dɛ’rɔwɛl]
dervyn [‘dɛrvɪn]
densel [‘dɛnzɛl]
denses [‘dɛnzɛs]
deskrifa [dɛ’skrifa]
desedha [dɛ’zɛða]
deskrifans [dɛ’skrifans]
desedhans [‘dɛzðans]
deskrifus [dɛ’skrifʏs]
desedhva [dɛ’zɛðva]
deseha [dɛ’sɛha]
desempis [dɛ’zɛmpɪs]
deservya [dɛ’zɛrvja]
desper [dɛ’spɛ:r]
desev [‘dɛsɛv]
despisya [dɛs’pi:zja]
desevos [dɛ’zɛvɔs]
despit [dɛ’spi:t]
desin [dɛ’si:n]
desiner [dɛ’si:nɛr]
despitya [dɛ’spi:tja]
desinores [ˌdɛsɪ’nɔrɛs]
desta [‘dɛsta]
destna [‘dɛstna]
desinya [dɛ’si:nja]
destnans [‘dɛstnans]
desiradow [ˌdɛzɪ’radɔʊ]
destnys [‘dɛstnɪs]
destryppya [dɛ’strɪpja]
desk [dɛ:sk]
destys [‘dɛstɪs]
determya [dɛ’tɛrmja]
determys [dɛ’tɛrmɪs]
deu [dø:]
deur [dø:r]
deuv [dø:v]
devedhyans [dɛ’vɛðjans]
dever [‘dɛvɛr]
devera [dɛ’vɛra]
devis [dɛ’vi:s]
deviser [dɛ’vi:zɛr]
devisores [ˌdɛvɪ’zɔrɛs]
devisya [dɛ’vi:zja]
dewyn [‘dɛwɪn]
devnydh [‘dɛvnɪð]
dewynnyans [dɛ’wɪnˑjans]
dewynyadell [ˌdɛwɪn’jadɛl]
devnydhya [dɛv’nɪðja]
devnydhyer [dɛv’nɪðjɛr]
dewynyador [ˌdɛwɪn’jadɔr]
devnydhyores [ˌdɛvnɪð’jɔrɛs]
devnydhys [dɛv’nɪðɪs]
dha [ðɐ]
devorya [dɛ’vɔrja]
devos [‘dɛvɔs]
agan [ˌðagan]
devosek [dɛ’vɔzɛk]
agas [ˌðagas]
devosel [dɛ’vɔzɛl]
dhana [‘ðana]
devri [dɛ’vri:]
devyn [‘dɛvɪn]
devynna [dɛ’vɪn:a]
dew [dɛˑʊ]
dewana [dɛ’wana]
dhe-denewen [ˌðədɛ’nɛwɛn]
dewblek [‘dɛʊblɛk]
dhe-dre [ðə’drɛ:]
dewbries [dɛʊ’bri:ɛs]
dhe-hys [ðə’hɪ:z]
dewdhegves [dɛʊ’ðɛgvɛz]
m [ðəm]
n [ðən]
dewdhek [‘dɛʊðɛk]
dherag [ðə’ra:g]
dewdhen [‘dɛʊðɛn]
dewek [‘dɛwɛk]
dewfrik [‘dɛʊfrɪk]
dewi [‘dɛwi]
dewis [‘dɛwɪs]
dhesempis [ðɛ’zɛmpɪs]
dewisel [dɛ’wizɛl]
Dewnens [‘dɛʊnɛns]
dhe-ves [ðə’vɛ:z]
dewreydhel [dɛʊ’rɛɪðɛl]
dew-ugens [dɛʊ’ʏgɛns]
dhi [ði:]
dew-ugensves [ˌdɛwʏ’gɛnzvɛs]
dibarder [dɪ’bardɛr]
ow [ðɔʊ]
dibarow [dɪ’barɔʊ]
dibarth [dɪ’barθ]
dibayn [dɪ’baɪn]
dibenn [dɪ’bɛn:]
dibenna [dɪ’bɛn:a]
dhywarlinen [ˌðɪwar’linɛn]
diber [‘dibɛr]
dhyworth [ðɪ’wɔrθ]
dibersonel [ˌdɪbɛr’sɔnɛl]
diberth [dɪ’bɛrθ]
di [di:]
diabetiges [diˌabɛ’tigɛs]
diabetik [ˌdia’bɛtɪk]
diberthva [dɪ’bɛrθfa]
diagnosa [ˌdiag’nɔza]
diagnosans [ˌdiag’nɔzans]
diberthys [dɪ’bɛrθɪs]
dial [‘di:al]
dibita [dɪ’bita]
diala [di’ala]
dialhwedha [ˌdial’ʍɛða]
diblans [dɪ’blans]
dialkohol [ˌdial’kɔhɔl]
diblanseth [dɪ’blanzɛθ]
diallos [di’al:ɤs]
dibobel [dɪ’bɔbɛl]
diambos [di’ambɔs]
diboll [dɪ’bɤl:]
diboltra [dɪ’bɔltra]
diamovyans [ˌdia’mɔvjans]
diboos [dɪ’bo:z]
dibowes [dɪ’bɔwɛs]
diank [di’aŋk]
dibreder [dɪ’brɛdɛr]
diannedh [di’an:ɛð]
dibries [dɪ’bri:ɛs]
dibystik [dɪ’bɪstɪk]
dianowi [ˌdia’nɔwi]
didakla [dɪ’dakla]
diantel [di’antɛl]
didal [dɪ’da:l]
didhan [dɪ’ða:n]
diarghen [di’arhɛn]
dibalster [dɪ’balstɛr]
didhana [dɪ’ðana]
diegrys [di’ɛgrɪs]
didhanedh [dɪ’ðanɛð]
diek [‘di:ɛk]
didhaner [dɪ’ðanɛr]
diekter [di’ɛktɛr]
didhanores [ˌdiða’nɔrɛs]
dieli [di’ɛli]
didhanus [dɪ’ðanʏs]
didheghenna [ˌdɪðɛ’hɛn:a]
dielvenna [ˌdiˑɛl’vɛn:a]
dielvennans [ˌdiˑɛl’vɛn:ans]
didhelen [dɪ’ðɛlɛn]
dien [‘di:ɛn]
didhemedhi [ˌdɪðɛ’mɛði]
didhemedhyans [ˌdɪðɛ’mɛðjans]
dienebys [ˌdiɛ’nɛbɪs]
didhemedhys [ˌdɪðɛ’mɛðɪs]
dieneth [di’ɛnɛθ]
didheurek [dɪ’ðœrɛk]
didhiwedh [dɪ’ðiwɛð]
dierbynna [ˌdiɛr’bɪn:a]
didhiwedhter [ˌdɪðɪ’wɛθtɛr]
dieskis [di’ɛskɪs]
dieth [‘di:ɛθ]
didhoth [dɪ’ðɔ:θ]
difastya [dɪ’fastja]
didhregynnus [ˌdɪðrɛ’gɪn:ʏs]
didhuwieth [ˌdɪðʏ’wi:ɛθ]
difen [‘dɪfɛn]
difenner [dɪ’fɛn:ɛr]
didhuwydh [dɪ’ðʏwɪð]
difennys [dɪ’fɛn:ɪs]
didhuwydhes [ˌdɪðʏˌwɪðɛs]
difenores [ˌdɪfɛ’nɔrɛs]
didhynnargh [dɪ’ðɪn:arx]
difeyth [‘dɪfɛɪθ]
didoll [dɪ’dɔl:]
difeythtir [dɪ’fɛɪθtɪr]
didon [dɪ’dɔ:n]
difinweth [dɪ’fɪnwɛθ]
didorr [dɪ’dɔr:]
diflows [dɪ’flɔʊz]
didowl [dɪ’dɔʊl]
difres [‘dɪfrɛs]
didreylya [dɪ’drɛɪlja]
didro [dɪ’drɔ:]
difresek [dɪ’frɛzɛk]
didrogentra [ˌdɪdrɔ’gɛntra]
difresyades [ˌdɪfrɛz’jadɛs]
didrossa [dɪ’drɤsa]
difresyans [dɪ’frɛzjans]
diduel [dɪ’dy:ɛl]
diegi [di’ɛgi]
difresyas [dɪ’frɛzjas]
difreth [dɪ’frɛ:θ]
digompes [dɪ’gɤmpɛs]
difudhell [dɪ’fʏðɛl]
digomposter [ˌdɪgɔm’pɤstɛr]
difudhi [dɪ’fʏði]
digorf [dɪ’gɔrf]
digosk [dɪ’gɔ:sk]
difun [dɪ’fy:n]
digoweth [dɪ’gɔwɛθ]
difuna [dɪ’fʏna]
digreft [dɪ’grɛft]
difunell [dɪ’fʏnɛl]
difygas [dɪ’fɪgas]
difygel [dɪ’fɪgɛl]
digresennans [ˌdɪgrɛˌzɛn:ans]
difygya [dɪ’fɪgja]
digrysadow [ˌdɪgrɪ’zadɔʊ]
difyk [‘dɪfɪk]
digelmi [dɪ’gɛlmi]
diguv [dɪ’gy:v]
dihanow [dɪ’hanɔʊ]
digelmys [dɪ’gɛlmɪs]
digempen [dɪ’gɛmpɛn]
dihares [dɪ’harɛs]
digemyska [ˌdigɛ’mɪska]
digessenyans [ˌdɪgɛ’sɛnjans]
dihaval [dɪ’haval]
digeudh [dɪ’gø:ð]
dihevelebi [dɪˌhɛvɛ’lɛbi]
diglevesi [ˌdɪglɛ’vɛzi]
dihevelep [ˌdɪhɛ’vɛlɛp]
diglon [‘dɪglɔn]
dihevelepter [dɪˌhɛvɛ’lɛpter]
dignas [dɪ’gna:z]
dihwans [dɪ’ʍans]
digodenni [ˌdɪgɔ’dɛn:i]
dilagha [dɪ’laha]
dilasva [dɪ’lazva]
dilea [dɪ’lɛ:a]
dileans [dɪ’lɛ:ans]
digolenni [ˌdɪgɔ’lɛn:i]
dilestra [dɪ’lɛstra]
digolennys [ˌdɪgɔ’lɛn:ɪs]
dillas [‘dɪl:as]
digolm [‘dɪgɔlm]
dilowr [‘dɪlɔʊr]
din [di:n]
dinas [‘dinas]
digolonna [ˌdɪgɔ’lɔn:a]
dinasydh [dɪ’nazɪð]
digolonnus [ˌdɪgɔ’lɔn:ʏs]
dinasydhes [ˌdɪna’zɪðɛs]
diruska [dɪ’rʏska]
dinatur [dɪ’natʏr]
diruskell [dɪ’rʏskɛl]
diner [‘dinɛr]
dis [di:s]
dineren [dɪ’nɛrɛn]
dis- [dɪs-]
disakord [dɪz’akɔrt]
dinerth [dɪ’nɛrθ]
disakordya [ˌdɪza’kɔrdja]
disawor [dɪ’sawɔr]
discernya [dɪ’sɛrnja]
discernyans [dɪ’sɛrnjans]
disebilya [ˌdɪzɛ’bɪlja]
dinythi [dɪ’nɪθi]
disegha [dɪ’sɛha]
dinythor [dɪ’nɪθɔr]
disegher [dɪ’sɛhɛr]
dinythyans [dɪ’nɪθjans]
disel [‘di:zɛl]
disenor [dɪz’ɛnɔr]
diod [‘di:ɔd]
diogel [di’ɔgɛl]
disenora [ˌdɪzɛ’nɔra]
diserri [dɪ’zɛr:i]
diogeledh [ˌdiɔ’gɛlɛð]
dises [dɪz’ɛ:z]
diogeli [ˌdiɔ’gɛli]
disesya [dɪz’ɛˑzja]
diomborth [di’ɔmbɔrθ]
disevel [dɪ’zɛvɛl]
diown [di’ɔʊn]
diplomen [dɪp’lɔmɛn]
disfavera [ˌdɪsfa’vɛra]
diras [dɪ’ra:s]
disfaverus [ˌdɪsfa’vɛrʏs]
direson [dɪ’rɛzɔn]
direwl [dɪ’rɛʊl]
diskansa [dɪ’skanza]
diskar [‘dɪskar]
direwlyades [ˌdɪrɛʊl’jadɛs]
diskara [dɪs’kara]
direwlyas [dɪ’rɛʊljas]
diskarga [dɪs’karga]
direydh [dɪ’rɛɪð]
diskargans [dɪs’kargans]
dirolya [dɪ’rɔlja]
diskeverans [ˌdɪskɛ’vɛrans]
diskevra [dɪs’kɛvra]
ski [‘dɪski]
diskians [dɪ’ski:ans]
dismygriv [dɪs’mɪgrɪv]
dismygwari [ˌdɪzmɪg’wari]
diskler [dɪ’sklɛ:r]
disklerya [dɪs’klɛrja]
dismygyans [dɪz’mɪgjans]
diskleryans [dɪs’klɛrjans]
dismyk [‘dɪzmɪk]
disklos [dɪs’klɔ:z]
disobaya [ˌdɪzɔ’baja]
disklosya [dɪs’klɔzja]
disobayans [ˌdɪzɔ’bajans]
diskont [‘dɪskɔnt]
disobedyens [ˌdɪzɔ’bɛdjɛns]
diskontentys [ˌdɪskɔn’tɛntɪs]
dison [dɪ’sɔ:n]
diskontya [dɪs’kɔntja]
diskortes [dɪs’kɔrtɛs]
disonest [dɪ’zɔnɛst]
disonester [ˌdɪzɔ’nɛstɛr]
diskrewya [dɪ’skrɛʊja]
diskryjyk [dɪs’krɪʤɪk]
disordyr [dɪz’ɔrdɪr]
diskudha [dɪ’skʏða]
dispar [dɪs’pa:r]
dispersya [dɪs’pɛrzja]
diskudhans [dɪ’skʏðans]
displegya [dɪs’plɛgja]
diskwedhes [dɪs’kwɛðɛs]
displegyans [dɪs’plɛgjans]
displesour [dɪs’plɛzʊr]
diskwedhyans [dɪ’skwɛðjans]
displesya [dɪs’plɛ:zja]
displesyans [dɪs’plɛ:zjans]
diskwedhyn [dɪ’skwɛðɪn]
displesys [dɪs’plɛ:zɪs]
diskwir [dɪ’skwi:r]
displetya [dɪs’plɛ:tja]
diskwitha [dɪ’skwiθa]
displetyans [dɪs’plɛ:tjans]
diskwithans [dɪ’skwiθans]
disposya [dɪs’pɔˑzja]
diskwithus [dɪ’skwiθʏs]
dispresya [dɪs’prɛzja]
dispresyans [dɪs’prɛzjans]
dislen [dɪs’lɛ:n]
dislenni [dɪz’lɛn:i]
disprevi [dɪs’prɛvi]
disliw [dɪz’liˑʊ]
disputya [dɪs’py:tja]
disliwa [dɪz’liwa]
dismaylya [dɪz’maɪlja]
dissaytya [dɪ’saɪtja]
dismygel [dɪs’mɪgɛl]
dissembla [dɪ’sɛmbla]
dismygi [dɪs’mɪgi]
dissent [dɪ’sɛnt]
dissentya [dɪ’sɛntja]
dissentyer [dɪ’sɛntjɛr]
divagli [dɪ’vagli]
dissentyores [ˌdɪsɛnt’jɔrɛs]
divaren [dɪ’varɛn]
distag [dɪ’sta:g]
divarva [dɪ’varva]
distaga [dɪ’staga]
divedhow [dɪ’vɛðɔʊ]
diveri [dɪ’vɛri]
distagyn [dɪ’stagɪn]
divern [dɪ’vɛrn]
distempra [dɪs’tɛmpra]
divers [dɪ’vɛrz]
distemprys [dɪs’tɛmprɪs]
disto [dɪs’tɔ:]
diversita [dɪ’vɛrzɪta]
